"Id_zone","Type_zone","Libelle_zone","Public"
01|53049,Commune,Châlons-du-Maine,1
01|53062,Commune,Château-Gontier-sur-Mayenne,1
01|85061,Commune,Château-Guibert,1
01|44037,Commune,Château-Thébaud,1
01|72072,Commune,Château-l'Hermitage,1
01|44036,Commune,Châteaubriant,1
01|85062,Commune,Châteauneuf (85),1
01|53063,Commune,Châtelain,1
01|53064,Commune,Châtillon-sur-Colmont,1
01|53067,Commune,Chémeré-le-Roi,1
01|53068,Commune,Chérancé (53),1
01|72078,Commune,Chérancé (72),1
01|72079,Commune,Chérisay,1
01|49100,Commune,Cizay-la-Madeleine,1
01|72084,Commune,Clermont-Créans,1
01|44043,Commune,Clisson,1
01|49102,Commune,Cléré-sur-Layon,1
01|72085,Commune,Cogners,1
01|53071,Commune,Colombiers-du-Plessis,1
01|85071,Commune,Commequiers,1
01|53072,Commune,Commer,1
01|72086,Commune,Commerveil,1
01|72087,Commune,Conflans-sur-Anille,1
01|53073,Commune,Congrier,1
01|72088,Commune,Congé-sur-Orne,1
01|72089,Commune,Conlie,1
01|72090,Commune,Connerré,1
01|44044,Commune,Conquereuil,1
01|53074,Commune,Contest,1
01|72091,Commune,Contilly,1
01|44156,Commune,Corcoué-sur-Logne,1
01|44045,Commune,Cordemais,1
01|72093,Commune,Cormes,1
01|49107,Commune,Cornillé-les-Caves,1
01|49109,Commune,Coron,1
01|85073,Commune,Corpe,1
01|44046,Commune,Corsept,1
01|49110,Commune,Corzé,1
01|53075,Commune,Cosmes,1
01|53076,Commune,Cossé-en-Champagne,1
01|53077,Commune,Cossé-le-Vivien,1
01|53078,Commune,Coudray (53),1
01|72094,Commune,Coudrecieux,1
01|53079,Commune,Couesmes-Vaucé,1
01|44048,Commune,Couffé,1
01|72095,Commune,Coulaines,1
01|72096,Commune,Coulans-sur-Gée,1
01|72098,Commune,Coulongé,1
01|53080,Commune,Couptrain,1
01|53082,Commune,Courbeveille,1
01|72099,Commune,Courcebœufs,1
01|72100,Commune,Courcelles-la-Forêt,1
