Id_zone,Type_zone,Libelle_zone,value,label
02|248500258,EPCI,CC Océan Marais de Monts,110,EPCI - CC Océan Marais de Monts
02|247200447,EPCI,CC Orée de Bercé - Belinois,111,EPCI - CC Orée de Bercé - Belinois
02|248500340,EPCI,CC Pays de Chantonnay,112,EPCI - CC Pays de Chantonnay
02|200071934,EPCI,CC Pays de Fontenay-Vendée,113,EPCI - CC Pays de Fontenay-Vendée
02|200071546,EPCI,CC Sud Retz Atlantique,114,EPCI - CC Sud Retz Atlantique
02|200073112,EPCI,CC Sud Sarthe,115,EPCI - CC Sud Sarthe
02|200073260,EPCI,CC Sud Vendée Littoral,116,EPCI - CC Sud Vendée Littoral
02|200067866,EPCI,CC Sèvre et Loire,117,EPCI - CC Sèvre et Loire
02|200071900,EPCI,CC Vendée Grand Littoral,118,EPCI - CC Vendée Grand Littoral
02|248500563,EPCI,"CC Vendée, Sèvre, Autise",119,"EPCI - CC Vendée, Sèvre, Autise"
02|244400503,EPCI,CC d'Erdre et Gesvres,120,EPCI - CC d'Erdre et Gesvres
02|244400537,EPCI,CC de Nozay,121,EPCI - CC de Nozay
02|200072882,EPCI,CC de Vie et Boulogne,122,EPCI - CC de Vie et Boulogne
02|245300355,EPCI,CC de l'Ernée,123,EPCI - CC de l'Ernée
02|248500191,EPCI,CC de l'Île de Noirmoutier,124,EPCI - CC de l'Île de Noirmoutier
02|200072718,EPCI,CC de la Champagne Conlinoise et du Pays de Sillé,125,EPCI - CC de la Champagne Conlinoise et du Pays de Sillé
02|244400453,EPCI,CC de la Région de Blain,126,EPCI - CC de la Région de Blain
02|200033298,EPCI,CC des Coëvrons,127,EPCI - CC des Coëvrons
02|200072692,EPCI,CC des Vallées de la Braye et de l'Anille,128,EPCI - CC des Vallées de la Braye et de l'Anille
02|200071868,EPCI,CC des Vallées du Haut-Anjou,129,EPCI - CC des Vallées du Haut-Anjou
02|245300389,EPCI,CC du Bocage Mayennais,130,EPCI - CC du Bocage Mayennais
02|200042182,EPCI,CC du Mont des Avaloirs,131,EPCI - CC du Mont des Avaloirs
02|247200348,EPCI,CC du Pays Fléchois,132,EPCI - CC du Pays Fléchois
02|244400552,EPCI,CC du Pays d'Ancenis,133,EPCI - CC du Pays d'Ancenis
02|245300447,EPCI,CC du Pays de Château-Gontier,134,EPCI - CC du Pays de Château-Gontier
02|200048551,EPCI,CC du Pays de Craon,135,EPCI - CC du Pays de Craon
02|245300223,EPCI,CC du Pays de Meslay-Grez,136,EPCI - CC du Pays de Meslay-Grez
02|248500662,EPCI,CC du Pays de Mortagne,137,EPCI - CC du Pays de Mortagne
02|200000438,EPCI,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,138,EPCI - CC du Pays de Pontchâteau Saint-Gildas-des-Bois
02|248500464,EPCI,CC du Pays de Pouzauges,139,EPCI - CC du Pays de Pouzauges
02|200071918,EPCI,CC du Pays de Saint-Fulgent - Les Essarts,140,EPCI - CC du Pays de Saint-Fulgent - Les Essarts
02|247200686,EPCI,CC du Pays de l'Huisne Sarthoise,141,EPCI - CC du Pays de l'Huisne Sarthoise
02|248500415,EPCI,CC du Pays de la Châtaigneraie,142,EPCI - CC du Pays de la Châtaigneraie
02|248500530,EPCI,CC du Pays des Achards,143,EPCI - CC du Pays des Achards
02|248500621,EPCI,CC du Pays des Herbiers,144,EPCI - CC du Pays des Herbiers
02|247200421,EPCI,CC du Sud Est Manceau,145,EPCI - CC du Sud Est Manceau
02|244400586,EPCI,CC du Sud Estuaire,146,EPCI - CC du Sud Estuaire
02|247200629,EPCI,CC du Val de Sarthe,147,EPCI - CC du Val de Sarthe
02|244900015,EPCI,CU Angers Loire Métropole,148,EPCI - CU Angers Loire Métropole
02|247200132,EPCI,CU Le Mans Métropole,149,EPCI - CU Le Mans Métropole
02|246100663,EPCI,CU d'Alençon (Partie Pays de la Loire),150,EPCI - CU d'Alençon (Partie Pays de la Loire)
02|244400404,EPCI,Nantes Métropole,151,EPCI - Nantes Métropole
06|5251,Zone d'emploi,Alençon (Partie Pays de la Loire),152,Zone d'emploi - Alençon (Partie Pays de la Loire)
06|5201,Zone d'emploi,Ancenis,153,Zone d'emploi - Ancenis
06|5202,Zone d'emploi,Angers,154,Zone d'emploi - Angers
06|5203,Zone d'emploi,Challans,155,Zone d'emploi - Challans
06|5206,Zone d'emploi,Cholet,156,Zone d'emploi - Cholet
06|5204,Zone d'emploi,Château-Gontier,157,Zone d'emploi - Château-Gontier
06|5205,Zone d'emploi,Châteaubriant,158,Zone d'emploi - Châteaubriant
06|5207,Zone d'emploi,Fontenay-le-Comte,159,Zone d'emploi - Fontenay-le-Comte
06|5208,Zone d'emploi,La Ferté-Bernard,160,Zone d'emploi - La Ferté-Bernard
06|5209,Zone d'emploi,La Flèche,161,Zone d'emploi - La Flèche
06|5210,Zone d'emploi,La Roche-sur-Yon,162,Zone d'emploi - La Roche-sur-Yon
06|5211,Zone d'emploi,Laval,163,Zone d'emploi - Laval
06|5212,Zone d'emploi,Le Mans,164,Zone d'emploi - Le Mans
06|5213,Zone d'emploi,Les Herbiers-Montaigu,165,Zone d'emploi - Les Herbiers-Montaigu
06|5214,Zone d'emploi,Les Sables-d'Olonne,166,Zone d'emploi - Les Sables-d'Olonne
06|5215,Zone d'emploi,Mayenne,167,Zone d'emploi - Mayenne
06|5216,Zone d'emploi,Nantes,168,Zone d'emploi - Nantes
06|5217,Zone d'emploi,Pornic,169,Zone d'emploi - Pornic
06|5262,Zone d'emploi,Redon (Partie Pays de la Loire),170,Zone d'emploi - Redon (Partie Pays de la Loire)
06|5218,Zone d'emploi,Sablé-sur-Sarthe,171,Zone d'emploi - Sablé-sur-Sarthe
06|5219,Zone d'emploi,Saint-Nazaire,172,Zone d'emploi - Saint-Nazaire
